category,datetime,headline,id,image,related,source,summary,url,ticker,readable_datetime
company,1730381161,"Amazon and Apple, Peloton CEO, September PCE: 3 Things",130897997,https://s.yimg.com/ny/api/res/1.2/8_gKUkv.YbGC6ZtvXVbp6Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/96aaf7d0-978b-11ef-9f7f-4651b45647ac,AMZN,Yahoo,"US stock futures (ES=F, NQ=F, YM=F) move lower this morning after Microsoft (MSFT) and Meta Platforms (META) released their respective earnings results yesterday. The next Big Tech stocks Wall Street is eyeing are Amazon (AMZN), Apple (AAPL), and Intel (INTC) as their earnings reports are due out after the closing bell. Peleton (PTON) taps Ford (F) executive Peter Stern to take over as its new CEO, effective January 2025. This morning was a treasure trove of economic data this morning — the core PCE (personal consumption expenditures) index rose 2.7% year-over-year in the month of September while last week's initial jobless claims came out at 216,000. To watch more expert insights and analysis on the latest market action, check out more Morning Brief here. This post was written by Luke Carberry Mogan.",https://finnhub.io/api/news?id=77a80580bd0ecc20ba2c21e87d4d35e0888b25bd2ce8c4bb8747ef3c679bc94d,AMZN,2024-10-31 13:26:01
company,1730380380,3 Stocks That Have Generated Terrifying Returns for Investors Over the Past 5 Years,130897999,https://g.foolcdn.com/editorial/images/795399/a-frustrated-investor-reviewing-multiple-charts-and-reports.jpg,AMZN,Yahoo,Boo! These stocks have all lost more than half of their value in just five years.,https://finnhub.io/api/news?id=3c56832aa76e8c77f620413104456db31be8376fb5dedf34260ffb796685a2dc,AMZN,2024-10-31 13:13:00
company,1730379000,2 Warren Buffett Stocks That Could Beat the Market Through 2030,130899455,https://g.foolcdn.com/editorial/images/795201/person-working-on-a-laptop.jpg,AMZN,Yahoo,These stocks will be worth holding even beyond 2030.,https://finnhub.io/api/news?id=c4ad2b862df430b052cf9bfa2f049eb4b0c94a9c6c19fabec93d38a91f1b94ba,AMZN,2024-10-31 12:50:00
company,1730374243,XLK: Google's Q3 Shows Why Investors Must Own Tech Stocks,130901020,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1643360144/image_1643360144.jpg?io=getty-c-w1536,AMZN,SeekingAlpha,The XLK has an outstanding long-term performance track record that has beaten the returns of the QQQs by 120%+ over the past decade. Read more here.,https://finnhub.io/api/news?id=93e163e81e3d5662a020ab895b035ca4dca3f5cadd62ee4480aa2c1fd3193a95,AMZN,2024-10-31 11:30:43
company,1730371398,Amazon workers 'appalled' by executive's claim that anyone was 'excited' about in-office mandate,130899461,https://media.zenfs.com/en/quartz.com/81fa9a07ba5e9c463c6e1efca0429c1a,AMZN,Yahoo,Amazon (AMZN) Web Services CEO Matt Garman is facing fierce criticism from a substantial segment of his workforce regarding his return-to-office (RTO) remarks.,https://finnhub.io/api/news?id=e69facff266710095b441610339b21de510baf7df43d082e49c101516c5f9234,AMZN,2024-10-31 10:43:18
company,1730370638,"Trending tickers: Microsoft, Meta, Starbucks, Super Micro and Stellantis",130892468,https://s.yimg.com/ny/api/res/1.2/mHfGgvDF.Fi1mJyhtzUZKw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/dd767fc0-9760-11ef-9ffb-93e98d0ea9dc,AMZN,Yahoo,The latest investor updates on stocks that are trending on Thursday.,https://finnhub.io/api/news?id=63074a7a60128864662ed094707ddef13aaf59e547a9e5191e3b2ec6925d58e2,AMZN,2024-10-31 10:30:38
company,1730368117,Google's Path To $200 Depends On This Missing Piece To Its AI Puzzle,130898623,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1163973538/image_1163973538.jpg?io=getty-c-w1536,AMZN,SeekingAlpha,"Google's AI investments show impressive growth in Q3 2024, with Google Cloud outperforming and ad revenue staying strong. Read more here.",https://finnhub.io/api/news?id=ba2408df4d2eb41452fa1dcb035050a7e9b9072b9bcc48862dc2dbd3c300cc94,AMZN,2024-10-31 09:48:37
company,1730367000,Meta and Microsoft: AI’s Spending Champs Won’t Be Tapping the Brakes,130897087,,AMZN,Yahoo,Sharply rising capital investments show no sign of slowing as the latest reports fail to excite investors.,https://finnhub.io/api/news?id=63ce3de77f4531a0f648df0633ccc74d524bcae9c0fa607c30934c881ff91727,AMZN,2024-10-31 09:30:00
company,1730365800,Billionaires Are Buying Up This Millionaire-Maker Stock,130899467,https://g.foolcdn.com/editorial/images/795469/growth_investing.jpg,AMZN,Yahoo,The world's richest investors still love Amazon.,https://finnhub.io/api/news?id=b53555cc2e7a72df2aefa24752d23893e3f9a527c9cc2e6efc6bf557f153435f,AMZN,2024-10-31 09:10:00
company,1730362020,These Are the 3 Trillion-Dollar Stocks That Are in Warren Buffett's Portfolio,130889194,https://g.foolcdn.com/editorial/images/795470/buffett2-tmf.jpg,AMZN,Yahoo,These market leaders possess qualities that may make them a good fit for your portfolio.,https://finnhub.io/api/news?id=63f3d5d1178ddc298b4af7ca70f9865ce81d5dd35d05205da51e53611f3122eb,AMZN,2024-10-31 08:07:00
company,1730361651,Microsoft says Google running 'shadow campaigns' as Big Tech legal feud heats up,130891884,https://s.yimg.com/ny/api/res/1.2/A82LPK6VZPKK4U8P9.fOIw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2023-10/6d3c7e20-616b-11ee-b693-956fe3d699be,AMZN,Yahoo,A legal feud between two giants of the tech world deepened this week as Microsoft accused Google of running 'shadow campaigns' to discredit Microsoft's cloud-computing business.,https://finnhub.io/api/news?id=2db89ce8187be297ce6c2a85d1362da3fe9c5cefbb33b88f8e4c5c62e5a171f0,AMZN,2024-10-31 08:00:51
company,1730347260,Amazon Earnings Could be Mixed. Here’s the Bright Spot.,130884980,https://s.yimg.com/ny/api/res/1.2/2f4kHx3xIcTeNZLi5WVV0A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/96ec6e132f0f83440880fdb6e9057a00,AMZN,Yahoo,Analysts surveyed by FactSet expect the tech behemoth to post earnings of $1.14 a share on revenue of $157.28 billion.,https://finnhub.io/api/news?id=cf0e11c2098c35e2c8195c4c5def19d5b994dd65e3a9a6d37bd6f876f3c6a1d3,AMZN,2024-10-31 04:01:00
company,1730338369,Clouds gather over 'Mag 7' earnings,130881368,,AMZN,Finnhub,"A look at the day ahead in European and global markets from Kevin Buckland Mega-tech earnings remain in the spotlight on Thursday, particularly after the Bank of Japan's as-expected...",https://finnhub.io/api/news?id=1c5463a069663196d80d2ee9867369920f0f4b28c2d2736e3f59f5537f2a6b75,AMZN,2024-10-31 01:32:49
